<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Presence,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Nigeria","10","8","Present","-","Not recorded","Introduced","Not recorded","-","Stanfield (1970)","-"
"Uganda","1.25","32.5","Present","-","Not recorded","Introduced","Not recorded","-","Clayton and Renvoize (1982)","-"
"Bangladesh","24","90","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); EPPO (2021); Holm et al. (1979)","-"
"Cambodia","13","105","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); EPPO (2021); Holm et al. (1979)","-"
"China","35","105","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); CABI (Undated); EPPO (2021); Holm et al. (1979)","-"
" - Hainan","19.25","109.75","Present","-","Not recorded","Native","Not recorded","-","Bai ChangJun (1994)","-"
"Hong Kong","22.25","114.16667","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); EPPO (2021); Holm et al. (1979)","-"
"India","22","79","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); Agrawal (1990); CABI (Undated); EPPO (2021); Holm et al. (1979)","-"
" - Assam","26","93","Present","-","Not recorded","-","Not recorded","-","Barthakur et al. (1989)","-"
" - Karnataka","14.66667","75.83333","Present","-","Not recorded","-","Not recorded","-","Banerjee (1985)","-"
" - Odisha","20.5","84.41667","Present","-","Not recorded","-","Not recorded","-","Misra and Misra (1981)","-"
" - Uttar Pradesh","27.25","80.75","Present","-","Not recorded","-","Not recorded","-","Bhandari et al. (1998)","-"
"Indonesia","-5","120","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); CABI (Undated); EPPO (2021); Holm et al. (1979); Seavoy (1975)","-"
"Malaysia","2.5","112.5","Present","Localized","Not recorded","-","Not recorded","-","CABI (Undated a); EPPO (2021); Holm et al. (1979); Kamal-Uddin et al. (2009)","-"
